Run,Accuracy,Precision,Recall,F1,Tempo de Treinamento
1,0.97799999,0.92592591,0.87719297,0.90090084,0.44381853
2,0.97399998,0.94000000,0.82456142,0.87850463,0.49928541
3,0.97000003,0.92000002,0.80701756,0.85981309,0.48705812
4,0.96799999,0.93617022,0.77192980,0.84615380,0.53226059
5,0.97600001,0.90909094,0.87719297,0.89285707,0.50044459
6,0.97600001,0.94117647,0.84210527,0.88888890,0.45067571
7,0.97600001,0.92452830,0.85964912,0.89090908,0.45331709
8,0.97600001,0.94117647,0.84210527,0.88888890,0.46579328
9,0.97799999,0.92592591,0.87719297,0.90090084,0.44615603
10,0.97799999,0.94230771,0.85964912,0.89908254,0.47432658
11,0.97600001,0.94117647,0.84210527,0.88888890,0.54783850
12,0.96600002,0.91666669,0.77192980,0.83809525,0.46926186
13,0.97600001,0.94117647,0.84210527,0.88888890,0.44135725
14,0.97200000,0.93877554,0.80701756,0.86792457,0.55915678
15,0.97600001,0.94117647,0.84210527,0.88888890,0.49691684
16,0.97399998,0.92307693,0.84210527,0.88073391,0.46024243
17,0.97000003,0.90384614,0.82456142,0.86238527,0.55124208
18,0.98000002,0.96078432,0.85964912,0.90740746,0.52506748
19,0.97399998,0.94000000,0.82456142,0.87850463,0.50708671
20,0.97799999,0.95999998,0.84210527,0.89719623,0.49292510
21,0.98600000,0.96296299,0.91228068,0.93693691,0.46419745
22,0.96799999,0.90196079,0.80701756,0.85185182,0.45940775
23,0.97000003,0.92000002,0.80701756,0.85981309,0.48253228
24,0.96799999,0.91836733,0.78947371,0.84905660,0.47085663
25,0.97799999,0.92592591,0.87719297,0.90090084,0.45181537
26,0.97799999,0.94230771,0.85964912,0.89908254,0.47840725
27,0.98000002,0.96078432,0.85964912,0.90740746,0.46067537
28,0.96399999,0.89795917,0.77192980,0.83018863,0.46895254
29,0.97200000,0.93877554,0.80701756,0.86792457,0.48124381
30,0.98199999,0.94444442,0.89473683,0.91891891,0.47003173
Average,.974600,.932882,.837426,.882263,.483078
